index,episode,episode_name,segment,type,actor,character,detail,record_date,series,transmission_date
5315,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"True constable. Could I have my eye-liner please?","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5316,14,"Episode Fourteen","The Piranha brothers",Dialogue,,"Second Policeman","Telegram for you, love.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5317,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"Good-oh. Bet it's from Binkie.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5318,14,"Episode Fourteen","The Piranha brothers",Dialogue,,"Second Policeman","Those flowers are for Sergant Lauderdale - from the gentleman waiting outside","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5319,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"Oh good","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5320,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Knock, knock. Head comes round the door.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5321,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Man,"Thirty seconds, superintendent.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5322,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"Oh blimey, I'm on. Is me hat straight, constable?","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5323,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Graham Chapman",Policeman,"Oh it's fine","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5324,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"Right here we go then, Hawkins.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5325,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Graham Chapman",Policeman,"Oh, merde, superintendent.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5326,14,"Episode Fourteen","The Piranha brothers",Dialogue,"Terry Jones",Organs,"Good luck, then.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5327,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Cut to exterior of Police Station. They come down the stairs and walk off along pavement. The city gent passes them doing his silly walk. Cut to a little newspaper seller","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5328,14,"Episode Fourteen","The Piranha brothers",Direction,,"Newspaper Seller","Read all about it. Piranha brothers escape.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5329,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Cut to suburban street: it completely clears very fast. Freeze frame on empty street. An enormous hedgehog higher that the houses comes into shot saying 'Dinsdale?'","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5330,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Roll credits, behind which we see the enormous hedgehog appearing in various well-known London locations.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5331,14,"Episode Fourteen","The Piranha brothers",Direction,,Hedgehog,"Dinsdale? Dinsdale? Dinsdale?","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5332,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Cut to John in cage as in opening shot.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5333,14,"Episode Fourteen","The Piranha brothers",Dialogue,"John Cleese",John,"Well, that's all for now and so until next week...","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5334,14,"Episode Fourteen","The Piranha brothers",Direction,,John,roars,"1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5335,14,"Episode Fourteen","The Piranha brothers",Direction,,,"Pan to next cage to show skeleton of 'It's' Man. Fade out.","1970-07-09 00:00:00",2/1,"1970-09-15 00:00:00"
5336,15,"Episode Fifteen","Man-powered flight",Direction,,,"A field. A man with large mechanical wings, pulleys and gears contraption, running along trying to fly. Cut to him going faster. Cut to him going even faster. Cut to him even faster and suddenly he appears to take off, jumping off a dune or a hillock. Cut to him flying in slow motion so that it looks like he is gliding. He hits what seems to be a cliff. Camera twists round so that it is the right way up, showing that the flyer has fallen down a cliff onto a beach. It pans across from the wreck of the flyer. As it pans across the sand, various other would-be fliers can be seen, heads in the sand, legs kicking up in the air, amidst the broken debris of their planes. Camera continues to pan until it comes across an announcer in DJ sitting at his desk:","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5337,15,"Episode Fifteen","Man-powered flight",Dialogue,"John Cleese",Announcer,"And now for something completely different.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5338,15,"Episode Fifteen","Man-powered flight",Dialogue,"Michael Palin","It's Man","It's...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5339,15,"Episode Fifteen","Man-powered flight",Direction,,,"Animated titles. Music: Black Dyke Mills Band playing a slow dirge.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5340,15,"Episode Fifteen","Man-powered flight",Direction,,,"Stock shot of mill town at the turn of the century - at night.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5341,15,"Episode Fifteen","Man-powered flight",Direction,,,"SUBTITLE: 'JARROW - NEW YEAR'S EVE 1911'","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5342,15,"Episode Fifteen","Man-powered flight",Direction,,,"SUBTITLE: 'JARROW 1912'","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5343,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Mix through to mill-owner's opulent sitting room at the turn of the century. Lady Mountback sits with her crochet. There is a knock on the door.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5344,15,"Episode Fifteen","The Spanish Inquisition",,,"Lady Mountback","Come in.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5345,15,"Episode Fifteen","The Spanish Inquisition",,,,"Enter Reg, cap in hand.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5346,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"Trouble at mill.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5347,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback","Oh no. What sort of trouble?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5348,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"One on't cross beams gone owt askew on treddle.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5349,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback",Pardon?,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5350,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback","I don't understand what you're saying.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5351,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Reg,"slightly irritatedly and with exaggeratedly clear accent","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5352,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"One of the cross beams has gone out askew on the treddle.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5353,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback","Well what on earth does that mean?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5354,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,Reg,I,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5355,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"don't know. Mr Wentworth just told me to come in here and say that there was trouble at the mill, that's all - I didn't expect a kind of Spanish Inquisition.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5356,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Jarring chord. The door flies open and Cardinal Ximinez of Spain enters, flanked by two junior cardinals. Cardinal Biggles has goggles pushed over his forehead. Cardinal Fang is just Cardinal Fang.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5357,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Nobody expects the Spanish Inquisition! Our chief weapon is surprise...surprise and fear...fear and surprise.... our two weapons are fear and surprise...and ruthless efficiency.... Our","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5358,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,Ximinez,three,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5359,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,Ximinez,four,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5360,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,Ximinez,amongst,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5361,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"exit and exeunt","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5362,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"I didn't expect a kind of Spanish Inquisition.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5363,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Jarring chord. They burst in.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5364,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Nobody expects the Spanish Inquisition! Amongst our weaponry are such diverse elements as fear, surprise, ruthless efficiency, and an almost fanatical devotion to the Pope, and nice red uniforms - oh damn!","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5365,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"to Biggles","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5366,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"I can't say it, you'll have to say it.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5367,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,What?,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5368,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"You'll have to say the bit about 'Our chief weapons are ...'","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5369,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"I couldn't do that...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5370,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Ximinez bundles the cardinals outside.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5371,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"They all enter.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5372,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Er.... Nobody...um....","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5373,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,Expects.,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5374,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Expects... Nobody expects the...um...the Spanish...um...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5375,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,Inquisition.,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5376,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"I know...I know! Nobody expects the Spanish Inquisition. In fact, those who do expect...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5377,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Our chief weapons are...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5378,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Our chief weapons are...um...er...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5379,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,Surprise.,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5380,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Surprise and...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5381,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Stop. Stop there! Stop there. Whew! Our chief weapon is surprise, blah, blah, blah, blah. Cardinal, read the charges.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5382,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Gilliam",Fang,"You are hereby charged that you did on diverse dates commit heresy against the Holy Church. My old man said follow the...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5383,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"That's enough.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5384,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Biggles,"to Lady Mountback","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5385,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Now, how do you plead?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5386,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback","We're innocent.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5387,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Ha! Ha! Ha! Ha! Ha!","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5388,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,,"SUPERIMPOSED CAPTION: 'DIABOLICAL LAUGHTER'","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5389,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"We'll soon change your mind about that!","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5390,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,,"SUPERIMPOSED CAPTION: 'DIABOLICAL ACTING'","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5391,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Fear, surprise, and a most ruthless...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5392,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"controls himself with a supreme effort","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5393,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"ooooh! Now, Cardinal, the rack!","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5394,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Biggles produces a plastic-coated dish-drying rack. Ximinez looks at it and clenches his teeth in an effort not to lose control. He hums heavily to cover his anger.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5395,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"You....Right! Tie her down.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5396,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"Fang and Biggles make a pathetic attempt to tie her on to the drying rack","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5397,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Right! How do you plead?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5398,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Carol Cleveland","Lady Mountback",Innocent.,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5399,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Ha! Right! Cardinal, give the rack","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5400,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"oh dear","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5401,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"give the rack a turn.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5402,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Cardinal Biggles stands their awkwardly and shrugs.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5403,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,I....,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5404,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,"gritting his teeth","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5405,15,"Episode Fifteen","The Spanish Inquisition",Direction,,Ximinez,know,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5406,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,". I know you can't. I didn't want to say anything. I just wanted to try and ignore your crass mistake.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5407,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,I...,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5408,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"It makes it all seem so stupid.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5409,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones",Biggles,"Shall I, um...?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5410,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Michael Palin",Ximinez,"Oh, go on, just pretend for God's sake.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5411,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Biggles turns an imaginary handle on the side of the rack. The doorbell rings. Reg detaches himself from the scene and answers it. Outside there is a dapper BBC man with a suit and a beard, slightly arty.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5412,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Ah, hello, you don't know me, but I'm from the BBC. We were wondering if you'd come and answer the door in a sketch over there, in that sort of direction... You wouldn't have to do anything - just open the door and that's it.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5413,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"Oh, well all right, yes.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5414,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Jolly good. Come this way.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5415,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Cut to film of them coming out of the front door of the house and walking to BBC van. Conversation is heard throughout (slightly faintly).","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5416,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,.,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5417,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Yes, we're on film at the moment you see.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5418,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"It's a link, is it?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5419,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Yes that's right, that sort of thing, yes, a link. It's all a bit zany - you know a bit madcap funster... frankly I don't fully understand it myself, the kids seem to like it. I much prefer Des O'Connor ... Rolf Harris ... Tom Jones, you know...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5420,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"They get into the van. It drives off. They pass an AA sign saying 'To the Sketch'. Panning shot of them, in which we see them convening and hear...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5421,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"You do a lot of this sort of thing, do you?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5422,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Quite a lot yes, quite a lot. I'm mainly in comedy. I'd like to be in Programming Planning actually, but unfortunately I've got a degree.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5423,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"They arrive outside a suburban house, where the novelty salesman, Mr Johnson, is already waiting outside the front door. BBC man points and gives Reg direction. Reg goes to the door saying: 'Excuse me' and goes in, closing the front door. The novelty man rings bell. Reg opens the door.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5424,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle",Johnson,"Joke, sir? Guaranteed amusing. As used by the crowned heads of Europe. Has brought tears to the eyes of Royalty. 'Denmark has never laughed so much' - 'The Stage'. Nice little novelty number - 'a naughty Humphrey' - breaks the ice at parties. Put it on the table. Press the button. It vomits. Absolutely guaranteed. With refills. 'Black soap' - leave it in the bathroom, they wash their hands, real fungus grows on the fingers. Can't get it off for hours. Guaranteed to break the ice at parties. Frighten the elderly - real snakes. Comedy hernia kit. Plastic flesh wounds - just keep your friends in stitches. Guaranteed to break the ice at parties. Hours of fun with 'honeymoon delight' - empty it into their beds - real skunk juice. They won't forget","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5425,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,,Johnson,their,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5426,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle",Johnson,"wedding night. Sticks to the skin, absolutely waterproof, guaranteed to break the ice at parties. Amuse your friends - CS gas canisters - smells, tastes and acts just like the real thing - can blind, maim or kill. Or for drinks, why not buy a 'wicked willy' with a life-size winkle - serves warm beer. Makes real cocktails. Hours of amusement. Or get the new Pooh-Pooh machine. Embarrass your guests - completely authentic sound. Or why not try a new 'naughty nightie' - put it on and it melts - just watch their faces. Guaranteed to break the ice at naughty parties. Go on, go on.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5427,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,What?,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5428,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle",Johnson,"Do the punchline.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5429,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"What punchline?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5430,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle",Johnson,"The punchline for this bit.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5431,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"I don't know it. They didn't say anything about a punchline.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5432,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle",Johnson,"Oh! Oh well in that case I'll be saying goodbye then, sir... Goodbye then, sir.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5433,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"He turns and walks away. Reg looks around desperately. And then runs out of the door. He runs to BBC van as Johnson walks out of picture. Cut to cabin of BBC van with the BBC man sitting there.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5434,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"What's the punchline?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5435,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Punchline? I don't think there's a punchline scheduled, is there? Where are we? A week 39.4 no, it's Friday, isn't it - 39.7. Oh ... here we are. Oh!","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5436,15,"Episode Fifteen","The Spanish Inquisition",Direction,,"BBC Man",laughs,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5437,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Ha, ha, ha, very good. Ha, ha, ha, very good. What a good punchline. Pity we missed that. Still, never mind, we can always do it again. Make a series out of it. Now if you'll just sign there, I'll put this through to our contracts department and you should be hearing from them in a year or two.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5438,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman",Reg,"Can you give me a lift back?","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5439,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Ah - can do. But won't. We were wondering if we could possibly borrow your head for a piece of animation.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5440,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese","BBC Man","Oh jolly good. Thanks very much. You will get expenses.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5441,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"BBC staff set on Reg and saw his head off.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5442,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,ANIMATION:,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5443,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Reg's head starts off by being thrown into picture.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5444,15,"Episode Fifteen","The Spanish Inquisition",Direction,,,"Animation leads to an oak panelled, Civil Service committee room. A politician is addressing three officals.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5445,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese",Politician,"Gentlemen, our MP saw the PM this AM and the PM wants more LSD from the PIB by tomorrow AM or PM at the latest. I told the PM's PPS that AM was NBG so tomorrow PM it is for the PM nem. con. Give us a fag or I'll go spare. Now, the fiscal deficit with regard to the monetary balance, the current financial year excluding invisible exports, but adjusted of course for seasonal variations and the incremental statistics of the fiscal and revenue arrangements for the forthcoming annual budgetary period terminating in April.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5446,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Graham Chapman","First Official","I think he's talking about taxation.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5447,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese",Politician,"Bravo, Madge. Well done. Taxation is indeed the very nub of my gist. Gentlemen, we have to find something new to tax.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5448,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Eric Idle","Second Official","I understood that.","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5449,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"Terry Jones","Third Official","If I might put my head on the chopping block so you can kick it around a bit, sir...","1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
5450,15,"Episode Fifteen","The Spanish Inquisition",Dialogue,"John Cleese",Politician,Yes?,"1970-07-02 00:00:00",2/2,"1970-09-22 00:00:00"
